"date","deaths_total","death_covid","death_covid_contrib","death_unknown_missing"
2020-04-01,0,0,0,0
2020-04-02,53,0,0,53
2020-04-03,14,0,0,14
2020-04-04,27,0,0,27
2020-04-05,25,0,0,25
2020-04-06,13,0,0,13
2020-04-07,21,0,0,21
2020-04-08,21,0,0,21
2020-04-09,26,0,0,26
2020-04-10,22,0,0,22
2020-04-11,31,0,0,31
2020-04-12,21,0,0,21
2020-04-13,17,0,0,17
2020-04-14,43,0,0,43
2020-04-15,51,0,0,51
2020-04-16,38,0,0,38
2020-04-17,55,0,0,55
2020-04-18,36,0,0,36
2020-04-19,39,0,0,39
2020-04-20,31,0,0,31
2020-04-21,38,0,0,38
2020-04-22,37,0,0,37
2020-04-23,54,0,0,54
2020-04-24,50,0,0,50
2020-04-25,48,0,0,48
2020-04-26,24,0,0,24
2020-04-27,57,0,0,57
2020-04-28,59,0,0,59
2020-04-29,45,0,0,45
2020-04-30,86,0,0,86
2020-05-01,39,0,0,39
2020-05-02,55,0,0,55
2020-05-03,40,0,0,40
2020-05-04,84,0,0,84
2020-05-05,61,0,0,61
2020-05-06,68,0,0,68
2020-05-07,48,0,0,48
2020-05-08,63,0,0,63
2020-05-09,59,0,0,59
2020-05-10,35,0,0,35
2020-05-11,35,0,0,35
2020-05-12,56,0,0,56
2020-05-13,40,0,0,40
2020-05-14,33,0,0,33
2020-05-15,27,0,0,27
2020-05-16,33,0,0,33
2020-05-17,23,0,0,23
2020-05-18,23,0,0,23
2020-05-19,15,0,0,15
2020-05-20,43,0,0,43
2020-05-21,31,0,0,31
2020-05-22,28,0,0,28
2020-05-23,27,0,0,27
2020-05-24,25,0,0,25
2020-05-25,29,0,0,29
2020-05-26,21,0,0,21
2020-05-27,32,0,0,32
2020-05-28,34,0,0,34
2020-05-29,41,0,0,41
2020-05-30,17,0,0,17
2020-05-31,19,0,0,19
2020-06-01,10,0,0,10
2020-06-02,17,0,0,17
2020-06-03,19,0,0,19
2020-06-04,45,0,0,45
2020-06-05,15,0,0,15
2020-06-06,35,0,0,35
2020-06-07,19,0,0,19
2020-06-08,24,0,0,24
2020-06-09,14,0,0,14
2020-06-10,11,0,0,11
2020-06-11,12,0,0,12
2020-06-12,11,0,0,11
2020-06-13,9,0,0,9
2020-06-14,12,0,0,12
2020-06-15,8,0,0,8
2020-06-16,11,0,0,11
2020-06-17,12,0,0,12
2020-06-18,3,0,0,3
2020-06-19,11,0,0,11
2020-06-20,31,0,0,31
2020-06-21,11,0,0,11
2020-06-22,3,0,0,3
2020-06-23,10,0,0,10
2020-06-24,12,0,0,12
2020-06-25,10,0,0,10
2020-06-26,3,0,0,3
2020-06-27,8,0,0,8
2020-06-28,6,0,0,6
2020-06-29,7,0,0,7
2020-06-30,7,0,0,7
2020-07-01,4,0,0,4
2020-07-02,4,0,0,4
2020-07-03,2,0,0,2
2020-07-04,5,0,0,5
2020-07-05,2,0,0,2
2020-07-06,0,0,0,0
2020-07-07,2,0,0,2
2020-07-08,9,0,0,9
2020-07-09,3,0,0,3
2020-07-10,7,0,0,7
2020-07-11,6,0,0,6
2020-07-12,3,0,0,3
2020-07-13,3,0,0,3
2020-07-14,1,0,0,1
2020-07-15,9,0,0,9
2020-07-16,5,0,0,5
2020-07-17,9,0,0,9
2020-07-18,2,0,0,2
2020-07-19,3,0,0,3
2020-07-20,1,0,0,1
2020-07-21,1,0,0,1
2020-07-22,2,0,0,2
2020-07-23,0,0,0,0
2020-07-24,3,0,0,3
2020-07-25,1,0,0,1
2020-07-26,4,0,0,4
2020-07-27,1,0,0,1
2020-07-28,4,0,0,4
2020-07-29,1,0,0,1
2020-07-30,3,0,0,3
2020-07-31,3,0,0,3
2020-08-01,2,0,0,2
2020-08-02,1,0,0,1
2020-08-03,0,0,0,0
2020-08-04,4,0,0,4
2020-08-05,0,0,0,0
2020-08-06,1,0,0,1
2020-08-07,0,0,0,0
2020-08-08,1,0,0,1
2020-08-09,2,0,0,2
2020-08-10,0,0,0,0
2020-08-11,0,0,0,0
2020-08-12,1,0,0,1
2020-08-13,0,0,0,0
2020-08-14,1,0,0,1
2020-08-15,1,0,0,1
2020-08-16,0,0,0,0
2020-08-17,0,0,0,0
2020-08-18,4,0,0,4
2020-08-19,-1,0,0,-1
2020-08-20,1,0,0,1
2020-08-21,3,0,0,3
2020-08-22,1,0,0,1
2020-08-23,0,0,0,0
2020-08-24,1,0,0,1
2020-08-25,2,0,0,2
2020-08-26,2,0,0,2
2020-08-27,1,0,0,1
2020-08-28,6,0,0,6
2020-08-29,0,0,0,0
2020-08-30,1,1,0,0
2020-08-31,1,0,0,1
2020-09-01,1,-1,0,2
2020-09-02,0,0,0,0
2020-09-03,0,1,0,-1
2020-09-04,-1,0,0,-1
2020-09-05,0,0,0,0
2020-09-06,2,1,0,1
2020-09-07,0,0,0,0
2020-09-08,0,0,0,0
2020-09-09,0,0,0,0
2020-09-10,1,1,0,0
2020-09-11,-1,0,0,-1
2020-09-12,1,0,0,1
2020-09-13,1,0,0,1
2020-09-14,1,0,0,1
2020-09-15,4,0,0,4
2020-09-16,2,0,0,2
2020-09-17,3,3,0,0
2020-09-18,0,0,0,0
2020-09-19,-27,628,0,-655
2020-09-20,1,0,0,1
2020-09-21,2,0,0,2
2020-09-22,3,0,0,3
2020-09-23,3,0,0,3
2020-09-24,1,1,0,0
2020-09-25,1,1,0,0
2020-09-26,0,0,0,0
2020-09-27,2,1,0,1
2020-09-28,1,0,0,1
2020-09-29,4,0,0,4
2020-09-30,4,0,0,4
2020-10-01,3,0,0,3
2020-10-02,76,0,0,76
2020-10-03,41,1,0,40
2020-10-04,7,0,0,7
2020-10-05,5,0,0,5
2020-10-06,7,4,0,3
2020-10-07,1,0,0,1
2020-10-08,4,0,0,4
2020-10-09,5,0,0,5
2020-10-10,7,0,0,7
2020-10-11,1,0,0,1
2020-10-12,3,1,0,2
2020-10-13,9,1,0,8
2020-10-14,0,0,0,0
2020-10-15,4,0,0,4
2020-10-16,9,2,0,7
2020-10-17,10,3,0,7
2020-10-18,5,1,0,4
2020-10-19,4,0,0,4
2020-10-20,3,2,0,1
2020-10-21,9,3,0,6
2020-10-22,9,2,0,7
2020-10-23,9,1,0,8
2020-10-24,6,0,0,6
2020-10-25,7,1,0,6
2020-10-26,6,2,0,4
2020-10-27,4,4,0,0
2020-10-28,5,1,0,4
2020-10-29,10,2,0,8
2020-10-30,9,3,0,6
2020-10-31,9,0,0,9
2020-11-01,9,1,0,8
2020-11-02,7,2,0,5
2020-11-03,13,3,0,10
2020-11-04,15,3,0,12
2020-11-05,13,3,0,10
2020-11-06,12,5,0,7
2020-11-07,11,1,0,10
2020-11-08,12,2,0,10
2020-11-09,12,1,0,11
2020-11-10,14,4,0,10
2020-11-11,15,2,0,13
2020-11-12,18,7,0,11
2020-11-13,19,7,0,12
2020-11-14,18,3,0,15
2020-11-15,29,1,0,28
2020-11-16,9,1,0,8
2020-11-17,12,1,0,11
2020-11-18,32,7,0,25
2020-11-19,27,3,0,24
2020-11-20,9,2,0,7
2020-11-21,21,5,0,16
2020-11-22,14,0,0,14
2020-11-23,19,8,0,11
2020-11-24,14,7,0,7
2020-11-25,35,18,0,17
2020-11-26,21,13,0,8
2020-11-27,18,6,0,12
2020-11-28,28,12,0,16
2020-11-29,24,5,0,19
2020-11-30,7,2,0,5
2020-12-01,7,1,0,6
2020-12-02,35,8,0,27
2020-12-03,14,7,0,7
2020-12-04,19,113,0,-94
2020-12-05,19,7,0,12
2020-12-06,15,4,0,11
2020-12-07,25,3,0,22
2020-12-08,10,2,0,8
2020-12-09,27,7,0,20
2020-12-10,33,16,0,17
2020-12-11,45,17,0,28
2020-12-12,16,11,0,5
2020-12-13,16,2,0,14
2020-12-14,22,5,0,17
2020-12-15,20,7,525,-512
2020-12-16,43,15,2,26
2020-12-17,21,5,3,13
2020-12-18,39,14,3,22
2020-12-19,27,7,2,18
2020-12-20,26,8,10,8
2020-12-21,17,4,2,11
2020-12-22,20,10,5,5
2020-12-23,40,15,5,20
2020-12-24,47,10,15,22
2020-12-25,43,24,6,13
2020-12-26,37,4,1,32
2020-12-27,17,2,5,10
2020-12-28,37,11,6,20
2020-12-29,41,15,13,13
2020-12-30,19,6,5,8
2020-12-31,56,27,5,24
2021-01-01,-12,1523,227,-1762
2021-01-02,44,23,3,18
2021-01-03,23,9,7,7
2021-01-04,29,21,2,6
2021-01-05,50,23,6,21
2021-01-06,33,22,9,2
2021-01-07,87,58,13,16
2021-01-08,25,22,3,0
2021-01-09,37,40,9,-12
2021-01-10,59,30,12,17
2021-01-11,29,11,6,12
2021-01-12,39,33,12,-6
2021-01-13,72,36,12,24
2021-01-14,61,28,9,24
2021-01-15,99,69,17,13
2021-01-16,47,47,20,-20
2021-01-17,67,41,12,14
2021-01-18,24,7,5,12
2021-01-19,44,25,9,10
2021-01-20,89,43,15,31
2021-01-21,43,27,18,-2
2021-01-22,84,54,9,21
2021-01-23,50,32,8,10
2021-01-24,46,27,11,8
2021-01-25,41,46,3,-8
2021-01-26,63,33,16,14
2021-01-27,49,30,10,9
2021-01-28,56,42,8,6
2021-01-29,57,40,10,7
2021-01-30,70,56,10,4
2021-01-31,43,22,14,7
2021-02-01,35,18,2,15
2021-02-02,-286,-929,-208,851
2021-02-03,427,43,8,376
2021-02-04,87,48,20,19
2021-02-05,43,14,10,19
2021-02-06,45,33,9,3
2021-02-07,22,18,7,-3
2021-02-08,30,14,6,10
2021-02-09,16,8,6,2
2021-02-10,39,48,1,-10
2021-02-11,-43,923,224,-1190
2021-02-12,16,12,2,2
2021-02-13,16,32,3,-19
2021-02-14,42,30,5,7
2021-02-15,12,5,1,6
2021-02-16,13,6,1,6
2021-02-17,10,4,3,3
2021-02-18,38,69,2,-33
2021-02-19,47,41,4,2
2021-02-20,25,27,6,-8
2021-02-21,11,16,3,-8
2021-02-22,9,2,1,6
2021-02-23,11,7,1,3
2021-02-24,9,41,5,-37
2021-02-25,22,13,4,5
2021-02-26,24,25,7,-8
2021-02-27,16,6,1,9
2021-02-28,20,11,2,7
2021-03-01,6,0,3,3
2021-03-02,11,5,1,5
2021-03-03,15,15,4,-4
2021-03-04,9,7,2,0
2021-03-05,19,31,3,-15
2021-03-06,6,4,0,2
2021-03-07,13,5,3,5
2021-03-08,10,5,3,2
2021-03-09,5,6,0,-1
2021-03-10,16,5,1,10
2021-03-11,7,10,1,-4
2021-03-12,16,13,1,2
2021-03-13,10,8,3,-1
2021-03-14,14,15,1,-2
2021-03-15,9,6,2,1
2021-03-16,10,11,-1,0
2021-03-17,10,50,2,-42
2021-03-18,16,7,1,8
2021-03-19,8,2,1,5
2021-03-20,10,4,3,3
2021-03-21,17,6,2,9
2021-03-22,3,4,0,-1
2021-03-23,9,4,3,2
2021-03-24,11,5,1,5
2021-03-25,17,9,3,5
2021-03-26,11,8,2,1
2021-03-27,16,15,1,0
2021-03-28,18,8,1,9
2021-03-29,10,3,1,6
2021-03-30,12,9,2,1
2021-03-31,15,8,3,4
2021-04-01,22,11,3,8
2021-04-02,23,17,0,6
2021-04-03,14,16,2,-4
2021-04-04,10,9,6,-5
2021-04-05,7,2,3,2
2021-04-06,8,7,2,-1
2021-04-07,17,9,4,4
2021-04-08,18,2,4,12
2021-04-09,16,6,1,9
2021-04-10,18,11,5,2
2021-04-11,20,7,0,13
2021-04-12,15,16,1,-2
2021-04-13,14,10,1,3
2021-04-14,28,9,5,14
2021-04-15,27,17,3,7
2021-04-16,25,12,0,13
2021-04-17,33,13,4,16
2021-04-18,18,15,3,0
2021-04-19,19,8,2,9
2021-04-20,21,10,2,9
2021-04-21,32,8,5,19
2021-04-22,40,17,6,17
2021-04-23,34,12,5,17
2021-04-24,23,27,2,-6
2021-04-25,24,12,1,11
2021-04-26,23,8,1,14
2021-04-27,29,20,4,5
2021-04-28,23,7,8,8
2021-04-29,40,14,2,24
2021-04-30,22,21,0,1
2021-05-01,28,21,4,3
2021-05-02,22,11,0,11
2021-05-03,16,8,0,8
2021-05-04,22,14,4,4
2021-05-05,43,12,2,29
2021-05-06,27,25,2,0
2021-05-07,20,11,3,6
2021-05-08,23,25,2,-4
2021-05-09,47,25,0,22
2021-05-10,19,9,2,8
2021-05-11,14,20,1,-7
2021-05-12,30,14,2,14
2021-05-13,31,15,3,13
2021-05-14,24,18,1,5
2021-05-15,24,19,6,-1
2021-05-16,30,17,2,11
2021-05-17,4,7,0,-3
2021-05-18,17,9,0,8
2021-05-19,17,36,3,-22
2021-05-20,26,12,3,11
2021-05-21,28,14,2,12
2021-05-22,19,20,6,-7
2021-05-23,14,10,4,0
2021-05-24,8,5,1,2
2021-05-25,31,12,0,19
2021-05-26,23,16,2,5
2021-05-27,18,87,2,-71
2021-05-28,12,18,0,-6
2021-05-29,16,5,1,10
2021-05-30,15,40,3,-28
2021-05-31,13,4,2,7
2021-06-01,7,15,2,-10
2021-06-02,24,17,0,7
2021-06-03,9,7,4,-2
2021-06-04,19,18,2,-1
2021-06-05,23,24,4,-5
2021-06-06,7,36,2,-31
2021-06-07,14,6,3,5
2021-06-08,15,15,3,-3
2021-06-09,29,20,2,7
2021-06-10,10,21,1,-12
2021-06-11,4,8,1,-5
2021-06-12,15,7,0,8
2021-06-13,5,12,0,-7
2021-06-14,3,0,0,3
2021-06-15,11,11,-1,1
2021-06-16,12,5,3,4
2021-06-17,3,5,3,-5
2021-06-18,1,1,1,-1
2021-06-19,11,8,0,3
2021-06-20,12,12,0,0
2021-06-21,3,2,1,0
2021-06-22,53,50,13,-10
2021-06-23,11,15,3,-7
2021-06-24,6,5,0,1
2021-06-25,2,2,1,-1
2021-06-26,13,8,3,2
2021-06-27,12,14,1,-3
2021-06-28,3,3,1,-1
2021-06-29,25,13,8,4
2021-06-30,14,12,0,2
2021-07-01,18,16,1,1
2021-07-02,8,6,3,-1
2021-07-03,10,15,3,-8
2021-07-04,9,7,0,2
2021-07-05,1,2,0,-1
2021-07-06,9,15,1,-7
2021-07-07,0,2,0,-2
2021-07-08,4,6,7,-9
2021-07-09,6,27,5,-26
2021-07-10,7,9,3,-5
2021-07-11,6,2,1,3
2021-07-12,0,0,1,-1
2021-07-13,7,15,0,-8
2021-07-14,7,4,2,1
2021-07-15,7,6,1,0
2021-07-16,10,9,2,-1
2021-07-17,3,0,1,2
2021-07-18,6,4,1,1
2021-07-19,0,1,0,-1
2021-07-20,2,9,1,-8
2021-07-21,4,7,2,-5
2021-07-22,7,11,4,-8
2021-07-23,0,11,2,-13
2021-07-24,2,4,2,-4
2021-07-25,1,0,-1,2
2021-07-26,3,3,3,-3
2021-07-27,3,24,6,-27
2021-07-28,3,1,2,0
2021-07-29,2,3,0,-1
2021-07-30,11,14,5,-8
2021-07-31,6,3,2,1
2021-08-01,2,2,1,-1
2021-08-02,1,1,0,0
2021-08-03,1,1,0,0
2021-08-04,10,10,3,-3
2021-08-05,13,9,3,1
2021-08-06,18,23,3,-8
2021-08-07,8,6,5,-3
2021-08-08,6,4,1,1
2021-08-09,0,0,0,0
2021-08-10,1,5,0,-4
2021-08-11,4,5,0,-1
2021-08-12,0,3,0,-3
2021-08-13,4,17,-5,-8
2021-08-14,1,1,0,0
2021-08-15,0,1,0,-1
2021-08-16,0,0,0,0
2021-08-17,10,15,6,-11
2021-08-18,3,3,0,0
2021-08-19,14,23,2,-11
2021-08-20,2,4,0,-2
2021-08-21,-3,7,1,-11
2021-08-22,1,2,0,-1
2021-08-23,1,0,0,1
2021-08-24,19,12,7,0
2021-08-25,1,3,0,-2
2021-08-26,-2,4,0,-6
2021-08-27,17,18,3,-4
2021-08-28,7,4,2,1
2021-08-29,2,2,0,0
2021-08-30,0,0,0,0
2021-08-31,3,5,1,-3
2021-09-01,13,11,1,1
2021-09-02,14,14,0,0
2021-09-03,6,4,0,2
2021-09-04,9,8,0,1
2021-09-05,3,2,0,1
2021-09-06,2,2,0,0
2021-09-07,3,3,0,0
2021-09-08,16,11,1,4
2021-09-09,9,7,0,2
2021-09-10,11,7,3,1
2021-09-11,15,13,0,2
2021-09-12,6,4,0,2
2021-09-13,6,3,0,3
2021-09-14,7,7,0,0
2021-09-15,4,4,1,-1
2021-09-16,3,2,0,1
2021-09-17,4,1,0,3
2021-09-18,10,7,1,2
2021-09-19,6,5,1,0
2021-09-20,2,1,0,1
2021-09-21,6,4,1,1
2021-09-22,6,9,0,-3
2021-09-23,6,7,1,-2
2021-09-24,10,17,0,-7
2021-09-25,8,6,1,1
2021-09-26,5,4,1,0
2021-09-27,0,0,0,0
2021-09-28,11,6,1,4
2021-09-29,8,4,0,4
2021-09-30,9,8,1,0
2021-10-01,10,8,1,1
2021-10-02,7,4,1,2
2021-10-03,2,2,0,0
2021-10-04,2,2,0,0
2021-10-05,3,1,0,2
2021-10-06,12,10,3,-1
2021-10-07,4,5,1,-2
2021-10-08,11,8,0,3
2021-10-09,2,1,0,1
2021-10-10,2,1,0,1
2021-10-11,2,2,0,0
2021-10-12,0,0,0,0
2021-10-13,11,7,3,1
2021-10-14,3,3,0,0
2021-10-15,2,1,1,0
2021-10-16,5,4,1,0
2021-10-17,-1,-1,0,0
2021-10-18,2,0,0,2
2021-10-19,4,5,0,-1
2021-10-20,4,2,0,2
2021-10-21,4,2,2,0
2021-10-22,10,6,2,2
2021-10-23,6,4,0,2
2021-10-24,1,2,0,-1
2021-10-25,0,0,0,0
2021-10-26,5,3,0,2
2021-10-27,10,5,1,4
2021-10-28,3,3,1,-1
2021-10-29,-1,2,0,-3
2021-10-30,1,11,1,-11
2021-10-31,2,1,1,0
2021-11-01,3,2,0,1
2021-11-02,6,2,0,4
2021-11-03,5,3,0,2
2021-11-04,5,6,1,-2
2021-11-05,6,4,3,-1
2021-11-06,3,4,1,-2
2021-11-07,2,1,0,1
2021-11-08,2,1,0,1
2021-11-09,2,3,0,-1
2021-11-10,8,4,0,4
2021-11-11,4,3,0,1
2021-11-12,5,4,0,1
2021-11-13,5,2,0,3
2021-11-14,7,7,1,-1
2021-11-15,2,3,0,-1
2021-11-16,1,2,1,-2
2021-11-17,11,12,2,-3
2021-11-18,5,3,2,0
2021-11-19,4,1,0,3
2021-11-20,5,3,0,2
2021-11-21,2,3,0,-1
2021-11-22,1,1,0,0
2021-11-23,5,5,0,0
2021-11-24,7,3,1,3
2021-11-25,4,5,1,-2
2021-11-26,6,4,1,1
2021-11-27,2,2,1,-1
2021-11-28,1,0,0,1
2021-11-29,3,2,0,1
2021-11-30,3,1,0,2
2021-12-01,4,6,2,-4
2021-12-02,7,5,2,0
2021-12-03,4,4,1,-1
2021-12-04,7,5,1,1
2021-12-05,1,0,1,0
2021-12-06,3,2,0,1
2021-12-07,9,7,0,2
2021-12-08,8,7,2,-1
2021-12-09,9,6,2,1
2021-12-10,11,10,1,0
2021-12-11,5,3,1,1
2021-12-12,8,2,3,3
2021-12-13,1,0,0,1
2021-12-14,5,3,1,1
2021-12-15,9,4,3,2
2021-12-16,9,6,1,2
2021-12-17,5,4,1,0
2021-12-18,4,3,0,1
2021-12-19,1,1,0,0
2021-12-20,0,0,0,0
2021-12-21,11,8,3,0
2021-12-22,9,6,3,0
2021-12-23,6,4,1,1
2021-12-24,6,3,1,2
2021-12-25,2,2,0,0
2021-12-26,6,5,0,1
2021-12-27,5,3,1,1
2021-12-28,7,4,0,3
2021-12-29,3,3,-1,1
2021-12-30,8,7,0,1
2021-12-31,14,10,1,3
2022-01-01,12,5,1,6
2022-01-02,17,9,2,6
2022-01-03,6,3,0,3
2022-01-04,10,4,3,3
2022-01-05,10,9,1,0
2022-01-06,20,14,1,5
2022-01-07,42,14,7,21
2022-01-08,29,21,3,5
2022-01-09,20,9,5,6
2022-01-10,11,1,3,7
2022-01-11,19,9,1,9
2022-01-12,42,29,4,9
2022-01-13,34,12,5,17
2022-01-14,37,21,6,10
2022-01-15,37,19,9,9
2022-01-16,39,15,8,16
2022-01-17,22,16,2,4
2022-01-18,34,20,2,12
2022-01-19,59,28,14,17
2022-01-20,67,38,25,4
2022-01-21,55,41,3,11
2022-01-22,41,24,14,3
2022-01-23,46,26,10,10
2022-01-24,35,14,7,14
2022-01-25,62,41,13,8
2022-01-26,86,51,18,17
2022-01-27,67,33,10,24
2022-01-28,59,44,15,0
2022-01-29,51,30,11,10
2022-01-30,56,31,9,16
2022-01-31,30,17,5,8
2022-02-01,53,31,15,7
2022-02-02,69,46,10,13
2022-02-03,70,44,13,13
2022-02-04,39,36,13,-10
2022-02-05,58,38,19,1
2022-02-06,52,31,13,8
2022-02-07,11,8,1,2
2022-02-08,37,28,5,4
2022-02-09,57,39,13,5
2022-02-10,41,23,9,9
2022-02-11,47,46,14,-13
2022-02-12,28,38,11,-21
2022-02-13,18,16,7,-5
2022-02-14,8,4,1,3
2022-02-15,14,34,1,-21
2022-02-16,40,45,13,-18
2022-02-17,41,30,7,4
2022-02-18,30,48,12,-30
2022-02-19,15,21,9,-15
2022-02-20,79,11,5,63
2022-02-21,14,5,3,6
2022-02-22,9,6,1,2
2022-02-23,173,33,8,132
2022-02-24,50,29,9,12
2022-02-25,53,21,20,12
2022-02-26,-24,25,6,-55
2022-02-27,6,9,0,-3
2022-02-28,2,1,0,1
2022-03-01,-128,22,6,-156
2022-03-02,22,27,6,-11
2022-03-03,17,21,7,-11
2022-03-04,24,34,8,-18
2022-03-05,36,26,10,0
2022-03-06,16,12,5,-1
2022-03-07,3,1,1,1
2022-03-08,58,26,8,24
2022-03-09,23,12,7,4
2022-03-10,19,12,6,1
2022-03-11,78,90,18,-30
2022-03-12,20,12,6,2
2022-03-13,9,8,2,-1
2022-03-14,0,0,0,0
2022-03-15,16,18,13,-15
2022-03-16,16,10,5,1
2022-03-17,19,11,7,1
2022-03-18,6,5,2,-1
2022-03-18,0,0,0,0
2022-03-19,16,9,5,2
2022-03-20,3,2,0,1
2022-03-21,4,1,2,1
2022-03-22,7,10,2,-5
2022-03-23,13,12,2,-1
2022-03-24,10,7,5,-2
2022-03-25,22,15,9,-2
2022-03-26,9,4,2,3
2022-03-27,4,3,0,1
2022-03-28,4,3,1,0
2022-03-29,9,7,4,-2
2022-03-30,13,6,5,2
2022-03-31,6,5,2,-1
2022-04-01,18,12,4,2
2022-04-02,9,4,4,1
2022-04-03,10,6,2,2
2022-04-04,0,0,0,0
2022-04-05,9,4,4,1
2022-04-06,32,26,10,-4
2022-04-07,16,11,4,1
2022-04-08,10,6,3,1
2022-04-09,11,12,3,-4
2022-04-10,15,5,7,3
2022-04-11,3,2,0,1
2022-04-12,4,4,0,0
2022-04-13,13,6,1,6
2022-04-14,23,8,11,4
2022-04-15,13,10,4,-1
2022-04-16,10,7,2,1
2022-04-17,1,1,0,0
2022-04-18,2,0,0,2
2022-04-19,1,17,0,-16
