"HR_OR","Algoma","Brant","Chatham-Kent","Durham","Eastern","Grey Bruce","Haldimand-Norfolk","Haliburton Kawartha Pineridge","Halton","Hamilton","Hastings Prince Edward","Huron Perth","Kingston Frontenac Lennox & Addington","Lambton","Leeds Grenville and Lanark","Middlesex-London","Niagara","North Bay Parry Sound","Northwestern","Ottawa","Peel","Peterborough","Porcupine","Renfrew","Simcoe Muskoka","Southwestern","Sudbury","Thunder Bay","Timiskaming","Toronto","Waterloo","Wellington Dufferin Guelph","Windsor-Essex","York"
"Algoma",38420,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,50,85,45,35,0,65,0,0,0,560,145,0,60,25,0,0,0
"Brant",0,36720,0,35,0,0,1395,0,1670,5210,0,55,0,0,0,325,160,0,0,45,885,0,0,0,40,1755,0,0,0,680,4750,575,0,125
"Chatham-Kent",0,20,31770,0,0,0,0,0,0,30,0,0,0,1570,0,635,20,0,0,25,45,20,0,0,20,300,0,0,0,90,135,35,2860,0
"Durham",0,25,0,144420,0,90,0,2205,480,200,155,0,155,0,0,125,135,35,20,350,6420,1265,70,50,645,45,20,30,0,79890,220,120,25,24130
"Eastern",0,0,0,20,50145,0,0,0,0,0,0,0,85,0,1230,0,0,0,0,21860,0,0,25,85,25,0,0,0,0,110,0,0,0,0
"Grey Bruce",0,0,0,105,0,48345,0,0,160,85,0,1085,0,0,0,140,60,0,0,55,650,0,0,0,1900,35,20,0,0,670,570,3020,0,165
"Haldimand-Norfolk",0,3240,0,35,0,30,23565,0,1105,6320,0,0,0,0,0,180,1140,0,0,30,360,20,0,0,35,3245,0,0,0,385,510,90,0,55
"Haliburton Kawartha Pineridge",0,0,0,8670,0,0,0,36045,100,50,3035,0,145,0,0,20,0,0,35,140,435,4935,0,0,875,0,0,0,0,2580,85,20,0,1640
"Halton",0,575,20,250,0,55,120,0,112535,11825,20,70,60,35,0,265,1130,40,0,290,55050,30,0,0,245,110,0,0,0,38150,2450,2350,35,4220
"Hamilton",0,3135,0,165,0,60,1450,0,35700,142615,20,65,55,25,0,245,4350,20,20,195,9790,30,0,0,100,275,0,0,0,8120,3240,1875,45,965
"Hastings Prince Edward",0,0,0,435,0,20,0,1600,20,0,50070,0,3170,0,45,20,25,50,30,175,145,405,0,120,45,0,0,0,0,620,45,20,0,75
"Huron Perth",0,40,0,0,0,965,0,0,55,50,0,43765,0,380,0,1825,0,0,0,0,135,0,0,0,25,825,0,0,0,240,3445,1160,0,20
"Kingston Frontenac Lennox & Addington",0,0,0,125,40,0,0,20,0,40,1690,0,70105,0,1210,25,0,0,25,465,80,30,20,50,55,0,0,0,0,385,45,0,0,125
"Lambton",0,0,1160,0,0,60,20,0,45,65,0,435,0,41295,0,2200,50,0,0,45,55,0,0,0,25,110,0,0,0,140,75,45,100,30
"Leeds Grenville and Lanark",0,0,0,40,810,0,0,0,0,35,45,0,3175,0,41490,25,25,0,0,14980,45,20,0,390,25,0,0,0,0,155,50,0,0,0
"Middlesex-London",0,140,405,95,0,160,110,0,210,185,0,3125,45,1380,0,162175,65,20,20,155,535,0,0,0,135,9090,0,50,0,1055,900,260,230,200
"Niagara",0,275,0,140,0,50,1000,0,6125,11845,20,0,20,40,0,170,144485,0,20,125,2495,0,20,0,100,55,25,0,0,2395,515,270,20,490
"North Bay Parry Sound",0,0,0,25,0,0,0,0,25,65,30,0,0,0,0,0,25,38980,30,65,185,0,155,55,1700,0,690,0,140,290,70,40,0,100
"Northwestern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29355,0,0,0,55,0,0,0,0,135,0,0,0,0,0,0
"Ottawa",30,0,0,60,2260,0,0,0,40,70,65,0,505,0,2455,80,25,55,35,370510,245,60,20,1115,90,0,50,20,0,1055,90,95,0,140
"Peel",20,220,0,1000,0,135,90,35,30430,2675,70,25,145,35,30,465,610,20,0,505,356940,100,0,40,1125,155,65,35,35,130285,2220,2935,120,32820
"Peterborough",0,0,0,2315,0,0,0,3240,70,30,330,0,45,0,0,0,0,20,20,150,250,41390,25,25,110,0,0,0,0,915,25,55,0,320
"Porcupine",65,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,50,0,0,30520,0,0,0,230,35,185,40,0,0,0,0
"Renfrew",0,0,0,40,35,0,0,0,0,0,130,0,90,0,350,25,0,165,0,3540,40,35,0,33205,65,0,0,0,0,75,30,0,0,20
"Simcoe Muskoka",0,45,0,505,0,1930,0,390,750,175,35,0,35,0,0,145,115,530,60,205,8440,85,35,25,158955,20,65,40,20,13180,375,1060,20,20375
"Southwestern",0,1410,270,20,0,25,1705,0,315,305,0,1795,0,105,30,13870,25,0,0,30,320,0,0,0,35,53355,0,0,0,310,4445,475,100,45
"Sudbury",240,0,0,0,0,20,0,0,0,0,0,20,0,0,0,20,0,405,135,95,30,0,215,0,20,0,74155,50,95,65,30,0,0,35
"Thunder Bay",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,50,0,0,60,0,0,0,45,55465,0,40,0,20,0,0
"Timiskaming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,35,25,0,0,345,0,0,0,45,20,10610,30,0,0,0,0
"Toronto",45,130,30,10770,0,230,95,305,7565,1675,155,90,420,50,35,535,615,120,80,740,78465,210,35,60,1605,85,120,25,0,884035,1535,925,150,101210
"Waterloo",0,2155,35,90,0,230,130,20,3335,2115,0,1980,40,50,0,675,190,25,0,160,5140,20,25,25,170,1385,0,25,0,3075,192335,16355,65,735
"Wellington Dufferin Guelph",0,140,0,80,0,610,30,0,5010,995,0,1030,25,0,0,195,115,0,0,120,13625,20,0,0,1555,110,0,0,0,3965,11050,81550,20,1580
"Windsor-Essex",0,0,2270,45,0,20,0,0,165,45,0,0,20,100,0,255,30,0,0,85,170,20,0,0,50,65,0,0,0,390,110,60,145060,50
"York",0,60,0,5550,0,90,35,220,1860,500,75,0,205,40,0,330,225,70,35,425,28260,130,0,50,3960,35,60,20,0,165855,685,605,60,236600
